Nr.,Autoriai (vertėjai),Pavadinimas,Tomas,Serija,Leid.,Metai,Psl.,Leidykla,Miestas,UDK,ISBN,"Defektai, žymės ir t.t."
1,A. Diuma,Polina / Katrina Blium,,,,1996,382,Markas,Kaunas,840-3,9986-779-04-9,
2,A. Diuma,Amori,,,,1996,286,Markas,Kaunas,840-3,9986-779-02-2,
3,A. Diuma,Čenčiai / Žoržas,,,,1996,332,Markas,Kaunas,840-3,9986-779-00-6,
4,A. Diuma,Tremtinys,,,,1998,317,Markas,Kaunas,840-3,9986-779-26-X,
5,A. Diuma,Grafienė de Monsoro,1,,,1994,358,Markas,Kaunas,840-3,9986-482-00-3/9986-482-08-9,
6,A. Diuma,Grafienė de Monsoro,2,,,1994,362,Markas,Kaunas,840-3,9986-482-09-7/9986-482-08-9,
7,A. Diuma,Jėhaus pasekėjai,1,,,1994,330,Markas,Kaunas,840-93,9986-482-05-4/9986-482-06-2,
8,A. Diuma,Jėhaus pasekėjai,2,,,1994,304,Markas,Kaunas,840-93,9986-482-07-0/9986-482-06-2,
9,A. Diuma,Dvi Dianos,,,,1995,638,Vaiga,Kaunas,840-3,9986-432-49-9,
10,A. Diuma,Tūkstantis ir viena šmėkla / Salteadoras,,,,1996,380,Markas,Kaunas,840-3,9986-779-03-0,
11,A. Diuma,Ševaljė de Mezon Ružas / Juodoji Tulpė,,,,1993,526,Markas,Kaunas,840-31,,
12,A. Diuma,Po dvidešimties metų,1,,,1994,724,Markas,Kaunas,840-93,9986-482-01-1,
13,A. Diuma,Vikontas de Braželonas,1,,4,1997,308,Markas,Kaunas,840-3,9986-482-23-2 / 9986-482-25-9,
14,A. Diuma,Vikontas de Braželonas,2,,3,1995,300,Markas,Kaunas,840-3,9986-482-24-0 / 9986-482-25-9,
15,A. Diuma,Vikontas de Braželonas,3,,3,1995,444,Markas,Kaunas,840-3,9986-482-30-5 / 9986-482-25-9,
16,A. Diuma,Vikontas de Braželonas,4,,3,1995,396,Markas,Kaunas,840-3,9986-482-34-8 / 9986-482-25-9,
17,A. Diuma,Vikontas de Braželonas,5,,3,1995,444,Markas,Kaunas,840-3,9986-482-35-6 / 9986-482-25-9,
18,A. Diuma,Paryžiaus mohikanai,1,,,1994,607,Markas,Kaunas,840-3,9986-482-14-3 / 998-482-16-X,
19,A. Diuma,Paryžiaus mohikanai,2,,,1994,582,Markas,Kaunas,840-3,9986-482-15-1 / 998-482-16-X,
20,A. Diuma,Grafas Montekristas,1,,,1994,442,Markas,Kaunas,840-3,9986-482-11-9 / 9986-482-10-0,
21,A. Diuma,Grafas Montekristas,2,,,1994,436,Markas,Kaunas,840-3,9986-482-12-7 / 9986-482-10-0,
22,A. Diuma,Grafas Montekristas,3,,,1994,444,Markas,Kaunas,840-3,9986-482-13-5 / 9986-482-10-0,
23,A. Diuma,Garsūs pasaulio nusikaltimai,1,,,1996,414,Markas,Kaunas,840-3,9986-482-40-2 / 9986-482-41-0,
24,A. Diuma,Garsūs pasaulio nusikaltimai,2,,,1997,447,Markas,Kaunas,840-3,9986-482-46-1 / 9986-482-41-0,Suliejimo pėdsakai teksto bloko viršuje.
25,A. Diuma,Garsūs pasaulio nusikaltimai,3,,,1997,383,Markas,Kaunas,840-3,9986-482-48-8 / 9986-482-41-0,Suliejimo pėdsakai teksto bloko viršuje.
26,A. Diuma,Garsūs pasaulio nusikaltimai,4,,,1997,414,Markas,Kaunas,840-3,9986-482-50-X / 9986-482-41-0,Atitrūkęs viršelis. Prirašinėjimai. Suliejimo pėdsakai teksto bloko viršuje.
27,A. Diuma,Garsūs pasaulio nusikaltimai,5,,,1998,461,Markas,Kaunas,840-3,9986-482-57-7 / 9986-482-41-0,
28,A. Diuma,Džono Deviso nuotykiai,,,,1994,388,Markas,Kaunas,840-3,9986-482-29-1,
